bob
caseNumber,groupName,identityName,class,placeOfRescue,zoneName,zoneName2,dateAdded,rescueNotes,facility,dateOfAdmission,timeOfAdmission,food,housing,medicalCare,proposedResolution,otherResolution,ageYears,ageMonths,stage,weight,length,height,dateOfExamination,modeOfRestraint,temperature,heartRate,pulse,resperation,observationNotes,outcomeNotes,createdBy,lastUpdatedAt,lastUpdatedBy
f47c6bed-6caf-4cbb-aff5-974d15ef85fd,Elephant,Reptile,Aves,Bombay,MVS-NB,MVS-CA,Thu Jun 11 2015 14:27:13 GMT+0100 (British Summer Time),None,Unknown,19-10-2013},17:29},None,,,,,13,10,neonate,45kg,296cm,141cm,Sat Aug 22 2020 09:43:47 GMT+0100 (British Summer Time),None,None,104,Yes,None,None,None,,Thu Oct 08 2020 09:00:17 GMT+0100 (British Summer Time),
d4f1f53d-d46e-4fd6-915a-0e2b0ee6bc4f,Turtle,Elephant,Reptilia,Bengal,MVS-NB,MVS-NB,Wed May 20 2015 00:30:31 GMT+0100 (British Summer Time),None,Unknown,25-04-2014},17:56},None,,,,,1,10,adult,112kg,82cm,51cm,Thu Dec 20 2018 07:59:48 GMT+0000 (Greenwich Mean Time),None,None,64,Yes,None,None,None,,Mon Aug 15 2011 17:02:25 GMT+0100 (British Summer Time),
f7b95cad-8fb1-454d-be3b-ac269d913ed9,Turtle,Eagle,Mamalia,Delhi,MVS-EA,MVS-EA,Tue Jan 01 2013 05:31:18 GMT+0000 (Greenwich Mean Time),None,Unknown,27-06-2018},05:27},None,,,,,10,2,adult,50kg,173cm,35cm,Thu Jan 05 2012 02:15:35 GMT+0000 (Greenwich Mean Time),None,None,68,Yes,None,None,None,,Thu May 20 2010 07:58:46 GMT+0100 (British Summer Time),
90846fc1-dce3-4709-b631-17df663c8514,Reptile,Reptile,Reptilia,Delhi,MVS-EA,MVS-CA,Sun Apr 01 2012 07:03:27 GMT+0100 (British Summer Time),None,Unknown,15-11-2016},17:08},None,,,,,13,3,adult,37kg,216cm,64cm,Fri Apr 24 2015 20:42:44 GMT+0100 (British Summer Time),None,None,117,Yes,None,None,None,,Tue Nov 15 2011 04:51:59 GMT+0000 (Greenwich Mean Time),
f90650cc-2340-4cfb-bd9d-dcb3423317d3,Turtle,Monkey,Aves,Chenai,MVS-EA,MVS-NB,Mon Feb 28 2011 21:36:43 GMT+0000 (Greenwich Mean Time),None,Unknown,12-11-2017},01:57},None,,,,,1,2,neonate,59kg,209cm,46cm,Tue Feb 24 2015 13:20:41 GMT+0000 (Greenwich Mean Time),None,None,74,Yes,None,None,None,,Sat Aug 04 2018 21:01:50 GMT+0100 (British Summer Time),
db4056d0-59d7-4c68-890c-d8e1c54c3568,Reptile,Reptile,Mamalia,Bengal,MVS-EA,MVS-EA,Sat May 09 2020 13:33:59 GMT+0100 (British Summer Time),None,Unknown,22-06-2012},20:41},None,,,,,12,9,infant,127kg,71cm,147cm,Sat Nov 23 2013 21:55:18 GMT+0000 (Greenwich Mean Time),None,None,146,Yes,None,None,None,,Thu Jul 13 2017 01:51:54 GMT+0100 (British Summer Time),
13292140-c164-43a4-8ae7-c875eef13642,Tiger,Owl,Reptilia,Bengal,MVS-CA,MVS-CA,Mon Sep 03 2012 02:05:00 GMT+0100 (British Summer Time),None,Unknown,26-10-2015},12:57},None,,,,,3,3,neonate,41kg,97cm,22cm,Fri Apr 19 2013 05:45:49 GMT+0100 (British Summer Time),None,None,106,Yes,None,None,None,,Sat Nov 06 2010 21:09:45 GMT+0000 (Greenwich Mean Time),
0d6d4c8a-65f2-4597-924e-c07e1f3c1409,Reptile,Reptile,Reptilia,Delhi,MVS-NB,MVS-EA,Sun Dec 15 2019 13:02:55 GMT+0000 (Greenwich Mean Time),None,Unknown,23-04-2010},13:21},None,,,,,13,10,subadult,31kg,219cm,104cm,Wed Sep 21 2016 04:04:17 GMT+0100 (British Summer Time),None,None,112,Yes,None,None,None,,Thu Jan 28 2016 07:26:35 GMT+0000 (Greenwich Mean Time),
cd5dd12e-5c73-4676-bea4-559f5938e0e1,Elephant,Eagle,Mamalia,Chenai,MVS-CA,MVS-EA,Thu Mar 21 2013 17:31:08 GMT+0000 (Greenwich Mean Time),None,Unknown,08-03-2018},01:31},None,,,,,3,3,neonate,126kg,169cm,145cm,Fri Jun 10 2011 00:36:02 GMT+0100 (British Summer Time),None,None,131,Yes,None,None,None,,Wed Mar 02 2011 21:42:27 GMT+0000 (Greenwich Mean Time),
aa4dd0ac-e22e-4478-a539-89f25794ace7,Reptile,Owl,Mamalia,Hydrabad,MVS-NB,MVS-NB,Thu Dec 24 2020 20:26:53 GMT+0000 (Greenwich Mean Time),None,Unknown,09-04-2020},08:56},None,,,,,14,3,adult,143kg,140cm,117cm,Tue Mar 08 2016 12:19:48 GMT+0000 (Greenwich Mean Time),None,None,83,Yes,None,None,None,,Sun Jun 22 2014 10:56:11 GMT+0100 (British Summer Time),
eccefb75-ba1f-4c42-b332-d20a9e5f202f,Elephant,Deer,Aves,Pune,MVS-NB,MVS-CA,Sat May 25 2019 04:51:42 GMT+0100 (British Summer Time),None,Unknown,16-08-2017},00:03},None,,,,,1,1,adult,78kg,153cm,20cm,Fri Jan 24 2014 17:26:30 GMT+0000 (Greenwich Mean Time),None,None,130,Yes,None,None,None,,Sun May 31 2015 16:18:09 GMT+0100 (British Summer Time),
0f0de230-05dc-4313-8a04-440055b0934d,Turtle,Elephant,Reptilia,Bombay,MVS-NB,MVS-NB,Sat Oct 20 2012 15:24:44 GMT+0100 (British Summer Time),None,Unknown,28-12-2012},18:47},None,,,,,10,3,subadult,41kg,279cm,93cm,Tue Jan 09 2018 14:40:48 GMT+0000 (Greenwich Mean Time),None,None,129,Yes,None,None,None,,Tue Apr 22 2014 16:58:24 GMT+0100 (British Summer Time),
5a9fa3fd-75b4-44e3-9acf-a28a708b0daf,Elephant,Tiger,Mamalia,Delhi,MVS-EA,MVS-CA,Mon Oct 02 2017 23:16:22 GMT+0100 (British Summer Time),None,Unknown,28-06-2011},12:12},None,,,,,5,4,neonate,35kg,201cm,33cm,Mon May 18 2015 05:39:47 GMT+0100 (British Summer Time),None,None,128,Yes,None,None,None,,Tue Mar 15 2011 01:30:34 GMT+0000 (Greenwich Mean Time),
211a4858-aaad-4402-959b-90ce43450057,Monkey,Reptile,Mamalia,Chenai,MVS-EA,MVS-CA,Sun Nov 20 2016 00:40:51 GMT+0000 (Greenwich Mean Time),None,Unknown,07-09-2020},15:14},None,,,,,4,10,infant,121kg,110cm,29cm,Thu Jul 10 2014 16:10:45 GMT+0100 (British Summer Time),None,None,52,Yes,None,None,None,,Wed Nov 29 2017 20:15:03 GMT+0000 (Greenwich Mean Time),
ee7aee05-7c3a-496b-b140-e7e5e7c41969,Monkey,Owl,Reptilia,Chenai,MVS-EA,MVS-EA,Fri Feb 03 2017 08:25:57 GMT+0000 (Greenwich Mean Time),None,Unknown,21-09-2017},22:57},None,,,,,10,3,adult,75kg,189cm,73cm,Tue Jul 19 2011 22:15:57 GMT+0100 (British Summer Time),None,None,140,Yes,None,None,None,,Thu May 18 2017 01:41:29 GMT+0100 (British Summer Time),
283c5cff-0f1c-4492-8538-63d3f9ad1328,Elephant,Monkey,Aves,Pune,MVS-CA,MVS-CA,Fri Mar 30 2018 05:11:09 GMT+0100 (British Summer Time),None,Unknown,06-02-2013},17:40},None,,,,,15,4,infant,62kg,178cm,85cm,Mon Nov 28 2011 20:46:40 GMT+0000 (Greenwich Mean Time),None,None,67,Yes,None,None,None,,Mon Aug 18 2014 10:13:30 GMT+0100 (British Summer Time),
ac604e81-dad2-4abd-a9f3-f70dfdd08227,Reptile,Owl,Aves,Bombay,MVS-EA,MVS-CA,Tue Feb 09 2010 20:50:34 GMT+0000 (Greenwich Mean Time),None,Unknown,21-09-2017},12:52},None,,,,,9,5,infant,131kg,274cm,82cm,Sat Jun 11 2016 22:30:16 GMT+0100 (British Summer Time),None,None,51,Yes,None,None,None,,Tue Jun 26 2018 14:18:40 GMT+0100 (British Summer Time),
4df940f3-035a-4535-992f-928b0aab94a3,Reptile,Eagle,Reptilia,Hydrabad,MVS-EA,MVS-CA,Sat May 31 2014 17:05:33 GMT+0100 (British Summer Time),None,Unknown,23-02-2012},06:33},None,,,,,8,10,infant,88kg,233cm,126cm,Sun Aug 12 2018 18:18:51 GMT+0100 (British Summer Time),None,None,82,Yes,None,None,None,,Sat Mar 29 2014 02:03:31 GMT+0000 (Greenwich Mean Time),
537c3eb8-c4c9-4577-a94b-77b494553087,Eagle,Turtle,Reptilia,Delhi,MVS-NB,MVS-NB,Tue Dec 10 2019 00:51:03 GMT+0000 (Greenwich Mean Time),None,Unknown,21-02-2010},06:45},None,,,,,14,9,neonate,42kg,242cm,38cm,Wed Feb 26 2014 17:51:35 GMT+0000 (Greenwich Mean Time),None,None,59,Yes,None,None,None,,Sat Aug 18 2012 22:37:15 GMT+0100 (British Summer Time),
0cdfd8ee-c322-4107-957c-dc31d368c65b,Owl,Reptile,Aves,Hydrabad,MVS-EA,MVS-EA,Mon Apr 24 2017 12:15:23 GMT+0100 (British Summer Time),None,Unknown,11-11-2015},09:13},None,,,,,15,10,adult,149kg,235cm,147cm,Sun Jun 21 2015 18:36:18 GMT+0100 (British Summer Time),None,None,137,Yes,None,None,None,,Tue Dec 24 2013 11:08:21 GMT+0000 (Greenwich Mean Time),
b6106756-37db-410b-bb10-9e07a2c6487e,Deer,Monkey,Aves,Bengal,MVS-NB,MVS-EA,Sat Dec 18 2010 02:36:08 GMT+0000 (Greenwich Mean Time),None,Unknown,22-03-2013},04:35},None,,,,,12,1,neonate,99kg,177cm,71cm,Wed Jun 15 2016 19:26:07 GMT+0100 (British Summer Time),None,None,138,Yes,None,None,None,,Sun Aug 14 2016 00:52:15 GMT+0100 (British Summer Time),
fe02c561-4f89-436a-aecb-c02b81053cce,Turtle,Owl,Reptilia,Bombay,MVS-CA,MVS-CA,Fri Mar 12 2021 03:50:04 GMT+0000 (Greenwich Mean Time),None,Unknown,05-08-2017},16:17},None,,,,,11,9,infant,39kg,281cm,92cm,Mon Aug 02 2010 22:44:53 GMT+0100 (British Summer Time),None,None,111,Yes,None,None,None,,Sat Dec 28 2013 13:51:44 GMT+0000 (Greenwich Mean Time),
d2f9cda8-7ef6-4652-b1c7-a4c43bc4973d,Monkey,Monkey,Reptilia,Pune,MVS-EA,MVS-EA,Sun Jun 12 2016 22:08:20 GMT+0100 (British Summer Time),None,Unknown,30-05-2019},13:57},None,,,,,4,10,infant,125kg,48cm,41cm,Tue Apr 03 2018 00:58:02 GMT+0100 (British Summer Time),None,None,110,Yes,None,None,None,,Sat Apr 06 2013 01:50:05 GMT+0100 (British Summer Time),
ea0e054a-36eb-49df-9db6-8749567067ae,Eagle,Owl,Reptilia,Pune,MVS-EA,MVS-EA,Tue Jan 14 2020 09:25:32 GMT+0000 (Greenwich Mean Time),None,Unknown,26-12-2016},12:53},None,,,,,11,11,neonate,85kg,33cm,97cm,Tue Dec 29 2015 02:58:48 GMT+0000 (Greenwich Mean Time),None,None,65,Yes,None,None,None,,Thu Jun 16 2016 06:19:00 GMT+0100 (British Summer Time),
7e940f7b-2817-4ae3-80ea-c135c157c7ed,Deer,Tiger,Aves,Bombay,MVS-NB,MVS-CA,Sun Nov 27 2011 17:19:45 GMT+0000 (Greenwich Mean Time),None,Unknown,10-07-2017},08:49},None,,,,,8,8,infant,101kg,98cm,150cm,Fri Aug 10 2012 13:57:20 GMT+0100 (British Summer Time),None,None,60,Yes,None,None,None,,Mon Nov 10 2014 09:30:30 GMT+0000 (Greenwich Mean Time),
2b39816d-799e-4aa8-b33f-0837c58ffdf5,Owl,Deer,Aves,Pune,MVS-EA,MVS-CA,Mon Aug 26 2013 09:59:34 GMT+0100 (British Summer Time),None,Unknown,21-08-2019},08:19},None,,,,,11,8,neonate,76kg,38cm,80cm,Sat Apr 14 2018 17:58:31 GMT+0100 (British Summer Time),None,None,111,Yes,None,None,None,,Sat Jan 21 2017 08:20:56 GMT+0000 (Greenwich Mean Time),
21e9c9d3-78aa-4de3-af62-d718f059b5d9,Deer,Elephant,Aves,Delhi,MVS-CA,MVS-CA,Sun Nov 18 2012 18:46:38 GMT+0000 (Greenwich Mean Time),None,Unknown,05-03-2018},19:47},None,,,,,7,1,adult,150kg,258cm,147cm,Thu Nov 13 2014 17:31:29 GMT+0000 (Greenwich Mean Time),None,None,127,Yes,None,None,None,,Tue Oct 16 2018 13:10:50 GMT+0100 (British Summer Time),
7f977734-507e-479c-bb3a-22690cb4ba11,Owl,Owl,Mamalia,Chenai,MVS-NB,MVS-NB,Sun Aug 26 2018 13:04:26 GMT+0100 (British Summer Time),None,Unknown,25-01-2018},05:07},None,,,,,1,11,infant,102kg,248cm,89cm,Fri Jan 04 2019 16:53:11 GMT+0000 (Greenwich Mean Time),None,None,68,Yes,None,None,None,,Mon Feb 08 2016 10:51:29 GMT+0000 (Greenwich Mean Time),
97d792d1-cddb-41c7-ad1a-c70dea3ef3e7,Monkey,Reptile,Reptilia,Hydrabad,MVS-NB,MVS-NB,Thu Jul 28 2016 17:53:50 GMT+0100 (British Summer Time),None,Unknown,26-09-2011},02:18},None,,,,,3,3,subadult,38kg,277cm,46cm,Mon Feb 01 2021 02:47:27 GMT+0000 (Greenwich Mean Time),None,None,71,Yes,None,None,None,,Tue May 01 2018 00:29:21 GMT+0100 (British Summer Time),
4f9bde94-e67e-4e6b-bfd3-98154c460589,Tiger,Owl,Reptilia,Bombay,MVS-NB,MVS-CA,Sun Sep 23 2018 05:02:17 GMT+0100 (British Summer Time),None,Unknown,04-08-2013},09:11},None,,,,,4,9,subadult,111kg,163cm,27cm,Sat Dec 19 2020 16:51:55 GMT+0000 (Greenwich Mean Time),None,None,77,Yes,None,None,None,,Sun Jun 27 2010 00:12:01 GMT+0100 (British Summer Time),
9322e4de-8b16-4eea-95e5-c3a3411352d3,Elephant,Monkey,Reptilia,Bombay,MVS-EA,MVS-NB,Wed Jul 18 2012 15:59:56 GMT+0100 (British Summer Time),None,Unknown,18-02-2021},16:40},None,,,,,13,2,subadult,31kg,222cm,106cm,Thu Mar 28 2019 08:34:45 GMT+0000 (Greenwich Mean Time),None,None,136,Yes,None,None,None,,Sat Mar 23 2019 01:17:03 GMT+0000 (Greenwich Mean Time),
10961ec4-7a68-46db-930d-78427956c5df,Elephant,Elephant,Reptilia,Chenai,MVS-CA,MVS-CA,Sat Feb 03 2018 08:51:06 GMT+0000 (Greenwich Mean Time),None,Unknown,26-09-2013},12:07},None,,,,,9,8,neonate,111kg,293cm,98cm,Fri Feb 21 2020 15:56:54 GMT+0000 (Greenwich Mean Time),None,None,77,Yes,None,None,None,,Fri Aug 26 2016 19:48:17 GMT+0100 (British Summer Time),
8470ed5a-c567-429c-b35a-a8a67b1f59c2,Reptile,Turtle,Mamalia,Bengal,MVS-CA,MVS-NB,Mon Dec 07 2015 01:39:44 GMT+0000 (Greenwich Mean Time),None,Unknown,22-08-2019},06:31},None,,,,,11,7,infant,87kg,243cm,31cm,Wed Jul 31 2019 00:29:44 GMT+0100 (British Summer Time),None,None,143,Yes,None,None,None,,Fri Oct 23 2015 17:41:51 GMT+0100 (British Summer Time),
d1b56063-cf52-434a-9190-b517b89c2efa,Deer,Deer,Reptilia,Bengal,MVS-NB,MVS-EA,Tue Oct 06 2020 16:04:32 GMT+0100 (British Summer Time),None,Unknown,05-12-2015},12:25},None,,,,,2,8,neonate,148kg,169cm,111cm,Thu Nov 09 2017 12:35:13 GMT+0000 (Greenwich Mean Time),None,None,147,Yes,None,None,None,,Sat May 08 2010 01:33:24 GMT+0100 (British Summer Time),
1ee59c73-ac28-4894-a3f0-caff94f89ff5,Turtle,Elephant,Aves,Bombay,MVS-CA,MVS-NB,Sat Sep 17 2016 03:05:31 GMT+0100 (British Summer Time),None,Unknown,19-02-2017},13:40},None,,,,,13,2,adult,74kg,239cm,142cm,Fri Jan 09 2015 04:00:57 GMT+0000 (Greenwich Mean Time),None,None,97,Yes,None,None,None,,Sat Feb 15 2014 08:06:13 GMT+0000 (Greenwich Mean Time),
0c555cf5-9966-448f-91a3-033c7d77c1e3,Reptile,Reptile,Aves,Bengal,MVS-NB,MVS-EA,Tue Nov 28 2017 02:27:13 GMT+0000 (Greenwich Mean Time),None,Unknown,31-01-2017},16:01},None,,,,,14,1,infant,35kg,164cm,138cm,Thu Apr 21 2011 02:18:33 GMT+0100 (British Summer Time),None,None,112,Yes,None,None,None,,Tue Oct 18 2016 07:54:57 GMT+0100 (British Summer Time),
2f0f9cb6-a4d5-4a66-a06e-1c37b26135c2,Reptile,Elephant,Mamalia,Bengal,MVS-EA,MVS-NB,Sat Sep 20 2014 14:32:51 GMT+0100 (British Summer Time),None,Unknown,05-03-2011},14:03},None,,,,,7,2,neonate,35kg,214cm,63cm,Sun Feb 18 2018 19:25:11 GMT+0000 (Greenwich Mean Time),None,None,73,Yes,None,None,None,,Mon Jan 04 2016 16:31:04 GMT+0000 (Greenwich Mean Time),
51c6b962-e852-4b03-a6dc-0dfeaa0664ff,Monkey,Deer,Aves,Bengal,MVS-NB,MVS-EA,Mon Nov 21 2011 20:27:37 GMT+0000 (Greenwich Mean Time),None,Unknown,20-06-2014},03:05},None,,,,,14,4,subadult,121kg,149cm,102cm,Sat Jan 26 2013 12:26:57 GMT+0000 (Greenwich Mean Time),None,None,107,Yes,None,None,None,,Sat Sep 13 2014 07:07:39 GMT+0100 (British Summer Time),
a7288568-597b-4e6c-91e2-ad35a58af9ad,Elephant,Eagle,Reptilia,Bombay,MVS-NB,MVS-EA,Tue Oct 12 2010 09:00:17 GMT+0100 (British Summer Time),None,Unknown,06-01-2011},18:34},None,,,,,11,5,adult,28kg,64cm,64cm,Thu Mar 19 2020 20:50:06 GMT+0000 (Greenwich Mean Time),None,None,131,Yes,None,None,None,,Wed Apr 06 2011 23:07:36 GMT+0100 (British Summer Time),
16a1156a-bb16-4465-bb6b-a1ab460f8cc8,Owl,Tiger,Reptilia,Bengal,MVS-CA,MVS-EA,Thu Jan 31 2013 08:55:38 GMT+0000 (Greenwich Mean Time),None,Unknown,01-12-2012},20:18},None,,,,,6,1,subadult,42kg,206cm,133cm,Tue Sep 06 2011 08:06:40 GMT+0100 (British Summer Time),None,None,75,Yes,None,None,None,,Mon Feb 06 2012 23:51:15 GMT+0000 (Greenwich Mean Time),
617c4c13-fd5e-49df-85b5-c5a98a4972a1,Reptile,Eagle,Mamalia,Bombay,MVS-NB,MVS-EA,Mon May 16 2016 02:47:06 GMT+0100 (British Summer Time),None,Unknown,04-07-2018},03:46},None,,,,,2,1,neonate,35kg,23cm,133cm,Sun Apr 13 2014 13:31:20 GMT+0100 (British Summer Time),None,None,104,Yes,None,None,None,,Wed Mar 06 2013 13:48:20 GMT+0000 (Greenwich Mean Time),
c20314bd-1f8e-419e-9c6d-d1167ba1cb40,Deer,Deer,Aves,Delhi,MVS-CA,MVS-CA,Wed Aug 26 2015 20:16:11 GMT+0100 (British Summer Time),None,Unknown,26-05-2014},23:53},None,,,,,11,6,adult,96kg,226cm,132cm,Wed Jun 10 2015 11:32:34 GMT+0100 (British Summer Time),None,None,113,Yes,None,None,None,,Mon Nov 25 2013 20:24:12 GMT+0000 (Greenwich Mean Time),
46db52dc-f6dc-408e-97cc-0fe917ade529,Reptile,Eagle,Mamalia,Hydrabad,MVS-EA,MVS-CA,Wed Apr 14 2010 22:38:27 GMT+0100 (British Summer Time),None,Unknown,11-08-2016},01:35},None,,,,,3,6,infant,146kg,161cm,89cm,Sun Feb 28 2021 08:51:14 GMT+0000 (Greenwich Mean Time),None,None,113,Yes,None,None,None,,Fri Oct 28 2016 15:00:39 GMT+0100 (British Summer Time),
0e2f384d-b259-4490-8951-222e33efdc51,Deer,Owl,Reptilia,Bengal,MVS-EA,MVS-EA,Tue May 19 2020 16:48:35 GMT+0100 (British Summer Time),None,Unknown,05-02-2013},00:59},None,,,,,6,11,neonate,124kg,133cm,98cm,Mon Feb 15 2016 16:49:29 GMT+0000 (Greenwich Mean Time),None,None,95,Yes,None,None,None,,Mon Aug 22 2011 09:24:26 GMT+0100 (British Summer Time),
ab940cc4-e83b-4dee-93c8-210bbbbc7071,Eagle,Elephant,Mamalia,Chenai,MVS-EA,MVS-EA,Thu Jul 16 2020 09:40:41 GMT+0100 (British Summer Time),None,Unknown,29-07-2019},06:30},None,,,,,12,2,subadult,121kg,187cm,64cm,Fri Apr 22 2016 10:36:52 GMT+0100 (British Summer Time),None,None,93,Yes,None,None,None,,Mon Apr 20 2020 08:25:41 GMT+0100 (British Summer Time),
b689552c-6d45-4751-b738-49f446294226,Elephant,Reptile,Mamalia,Pune,MVS-EA,MVS-NB,Sun Jan 31 2010 03:42:55 GMT+0000 (Greenwich Mean Time),None,Unknown,02-05-2010},22:30},None,,,,,1,4,infant,77kg,197cm,47cm,Sat Mar 26 2016 16:53:10 GMT+0000 (Greenwich Mean Time),None,None,95,Yes,None,None,None,,Thu Jun 16 2016 19:43:45 GMT+0100 (British Summer Time),
aa0de48e-d512-4e9f-a327-6bfb5f77d4c7,Tiger,Monkey,Reptilia,Pune,MVS-NB,MVS-EA,Sat Jan 02 2021 11:29:43 GMT+0000 (Greenwich Mean Time),None,Unknown,12-03-2021},10:21},None,,,,,7,11,adult,99kg,229cm,135cm,Thu Feb 14 2013 11:13:24 GMT+0000 (Greenwich Mean Time),None,None,139,Yes,None,None,None,,Wed May 08 2013 19:31:24 GMT+0100 (British Summer Time),
a5359954-73f6-4df6-8a4f-635b059c1d57,Monkey,Owl,Mamalia,Chenai,MVS-NB,MVS-CA,Thu Nov 07 2019 01:06:43 GMT+0000 (Greenwich Mean Time),None,Unknown,28-01-2021},15:14},None,,,,,5,9,subadult,91kg,60cm,91cm,Tue Jan 19 2021 21:23:32 GMT+0000 (Greenwich Mean Time),None,None,114,Yes,None,None,None,,Wed Jun 10 2020 22:07:25 GMT+0100 (British Summer Time),
4906c7e7-10f0-4da0-83ce-5c98fc93dd5e,Tiger,Eagle,Mamalia,Bombay,MVS-EA,MVS-EA,Wed May 15 2019 06:08:30 GMT+0100 (British Summer Time),None,Unknown,17-01-2021},12:34},None,,,,,12,8,subadult,115kg,296cm,48cm,Sat Jul 09 2011 14:06:28 GMT+0100 (British Summer Time),None,None,92,Yes,None,None,None,,Wed Jun 05 2013 07:36:10 GMT+0100 (British Summer Time),
89620d99-383d-4643-ae05-93976acde139,Owl,Turtle,Mamalia,Delhi,MVS-NB,MVS-EA,Sat Mar 28 2015 04:19:52 GMT+0000 (Greenwich Mean Time),None,Unknown,25-01-2021},11:35},None,,,,,11,10,subadult,89kg,31cm,143cm,Fri Mar 23 2018 02:37:18 GMT+0000 (Greenwich Mean Time),None,None,68,Yes,None,None,None,,Wed Apr 30 2014 02:34:12 GMT+0100 (British Summer Time),
ea10d0aa-a711-49c8-b46b-271babd43de4,Monkey,Tiger,Aves,Hydrabad,MVS-EA,MVS-CA,Fri Apr 02 2021 19:46:28 GMT+0100 (British Summer Time),None,Unknown,19-07-2013},06:31},None,,,,,1,5,adult,23kg,155cm,137cm,Wed Jun 20 2012 11:52:52 GMT+0100 (British Summer Time),None,None,107,Yes,None,None,None,,Sun Aug 25 2013 03:58:42 GMT+0100 (British Summer Time),
e3cc5720-44a9-4b47-a465-03d53decaa7c,Monkey,Eagle,Reptilia,Chenai,MVS-NB,MVS-NB,Tue Jul 03 2012 18:44:30 GMT+0100 (British Summer Time),None,Unknown,19-08-2011},20:01},None,,,,,8,8,infant,136kg,125cm,129cm,Sat Sep 23 2017 20:35:25 GMT+0100 (British Summer Time),None,None,54,Yes,None,None,None,,Tue Mar 01 2011 18:18:09 GMT+0000 (Greenwich Mean Time),
57ea37e1-00f6-4c33-bb33-b59422fa6980,Deer,Elephant,Aves,Delhi,MVS-CA,MVS-NB,Sat Feb 29 2020 01:33:11 GMT+0000 (Greenwich Mean Time),None,Unknown,04-11-2010},11:39},None,,,,,12,8,adult,24kg,130cm,43cm,Thu Jul 02 2020 03:46:45 GMT+0100 (British Summer Time),None,None,139,Yes,None,None,None,,Mon Jan 13 2020 07:03:34 GMT+0000 (Greenwich Mean Time),
b60bfdb3-f5ae-49a3-a89c-0692267d6f25,Elephant,Tiger,Reptilia,Pune,MVS-CA,MVS-NB,Sun Aug 20 2017 23:44:10 GMT+0100 (British Summer Time),None,Unknown,16-12-2015},07:09},None,,,,,7,10,neonate,50kg,42cm,131cm,Fri May 21 2010 06:12:38 GMT+0100 (British Summer Time),None,None,120,Yes,None,None,None,,Thu Oct 19 2017 16:51:25 GMT+0100 (British Summer Time),
1cf210c0-482e-4ca8-aa1a-ef3c032994f3,Reptile,Turtle,Reptilia,Delhi,MVS-EA,MVS-CA,Sat Jun 11 2016 20:17:56 GMT+0100 (British Summer Time),None,Unknown,06-01-2014},22:53},None,,,,,11,4,adult,101kg,274cm,149cm,Wed Oct 14 2020 23:31:01 GMT+0100 (British Summer Time),None,None,106,Yes,None,None,None,,Thu Jun 02 2011 11:00:03 GMT+0100 (British Summer Time),
e4b44344-f91e-4fbf-bf7d-8fddd834ac0f,Reptile,Reptile,Mamalia,Chenai,MVS-NB,MVS-EA,Tue Jan 08 2013 18:08:48 GMT+0000 (Greenwich Mean Time),None,Unknown,06-10-2011},08:27},None,,,,,8,3,subadult,33kg,295cm,135cm,Thu Feb 21 2019 04:16:49 GMT+0000 (Greenwich Mean Time),None,None,67,Yes,None,None,None,,Thu Dec 13 2012 11:35:18 GMT+0000 (Greenwich Mean Time),
a6f32007-afa3-4574-95d9-02ae8bcd5342,Owl,Reptile,Reptilia,Hydrabad,MVS-NB,MVS-EA,Tue Mar 06 2018 18:20:54 GMT+0000 (Greenwich Mean Time),None,Unknown,29-07-2019},03:11},None,,,,,15,4,subadult,50kg,69cm,85cm,Fri Dec 08 2017 11:23:03 GMT+0000 (Greenwich Mean Time),None,None,117,Yes,None,None,None,,Mon Nov 19 2012 06:56:21 GMT+0000 (Greenwich Mean Time),
e6dd95ec-8362-4269-9055-51d3990ab8cb,Tiger,Owl,Aves,Chenai,MVS-NB,MVS-NB,Wed Jan 06 2010 11:13:35 GMT+0000 (Greenwich Mean Time),None,Unknown,02-11-2011},17:40},None,,,,,4,1,neonate,137kg,191cm,78cm,Sat Dec 03 2016 11:54:26 GMT+0000 (Greenwich Mean Time),None,None,127,Yes,None,None,None,,Thu Sep 05 2013 09:55:13 GMT+0100 (British Summer Time),
46b932ec-7ba0-4e62-92f9-b37917b40648,Turtle,Turtle,Reptilia,Delhi,MVS-EA,MVS-EA,Sat Feb 15 2020 20:20:10 GMT+0000 (Greenwich Mean Time),None,Unknown,30-10-2014},05:43},None,,,,,7,5,adult,50kg,203cm,70cm,Thu Mar 10 2011 17:25:40 GMT+0000 (Greenwich Mean Time),None,None,81,Yes,None,None,None,,Sun Jul 26 2015 14:23:16 GMT+0100 (British Summer Time),
f4b7eb2f-cc39-4651-b038-e0bf39af40a9,Eagle,Elephant,Mamalia,Bombay,MVS-NB,MVS-EA,Sun Jun 02 2019 04:35:27 GMT+0100 (British Summer Time),None,Unknown,12-06-2015},11:11},None,,,,,4,8,neonate,66kg,152cm,118cm,Sun Apr 08 2018 11:29:42 GMT+0100 (British Summer Time),None,None,96,Yes,None,None,None,,Sat Jun 14 2014 09:59:12 GMT+0100 (British Summer Time),
